steel,"[107, 136, 145]"
burnt siena,"[187, 91, 5]"
pink,"[255, 190, 205]"
dark brown,"[10, 20, 3]"
seagreen,"[38, 143, 82]"
lightskyblue,"[134, 216, 250]"
vomit yellow,"[201, 188, 11]"
bright violet,"[175, 9, 243]"
denim blue,"[59, 83, 141]"
ugly pink,"[200, 116, 130]"
tan green,"[179, 198, 114]"
topaz,"[23, 182, 177]"
dark yellow green,"[123, 139, 5]"
purplish red,"[173, 4, 75]"
poison green,"[67, 237, 30]"
whitesmoke,"[249, 246, 245]"
lavender blue,"[128, 127, 239]"
vibrant blue,"[10, 62, 253]"
purple pink,"[218, 65, 223]"
deep purple,"[56, 3, 68]"
baby green,"[140, 249, 163]"
sand yellow,"[249, 227, 97]"
sky blue,"[1, 210, 245]"
peachy pink,"[248, 148, 136]"
dull brown,"[132, 115, 77]"
deep red,"[158, 4, 8]"
mud,"[122, 96, 12]"
light light blue,"[200, 253, 250]"
peacock blue,"[8, 103, 149]"
royal,"[14, 9, 144]"
red orange,"[247, 66, 11]"
yellowy green,"[196, 247, 32]"
lightgray,"[211, 208, 211]"
purple blue,"[96, 36, 230]"
turquoise green,"[14, 246, 139]"
purply,"[158, 54, 172]"
off green,"[101, 161, 87]"
pastel orange,"[248, 151, 81]"
emerald green,"[14, 139, 22]"
soft purple,"[162, 117, 184]"
reddy brown,"[117, 8, 17]"
bright magenta,"[250, 8, 235]"
flat blue,"[68, 121, 171]"
pumpkin orange,"[246, 133, 4]"
pinkish red,"[240, 24, 77]"
dark seafoam green,"[56, 174, 118]"
pinky purple,"[205, 82, 189]"
grey pink,"[195, 154, 148]"
darkslategray,"[42, 75, 70]"
terra cotta,"[196, 112, 55]"
pale lime,"[187, 253, 116]"
sunny yellow,"[253, 243, 31]"
deep teal,"[5, 76, 103]"
clear blue,"[29, 123, 239]"
light tan,"[251, 235, 173]"
yellowish brown,"[158, 119, 5]"
british racing green,"[8, 73, 15]"
bright yellow green,"[150, 252, 2]"
sickly green,"[151, 181, 19]"
dirty purple,"[109, 79, 95]"
pure blue,"[6, 8, 232]"
red purple,"[125, 6, 72]"
light blue grey,"[173, 202, 235]"
sandstone,"[206, 172, 116]"
russet,"[156, 53, 17]"
bright turquoise,"[19, 252, 243]"
fluorescent green,"[13, 250, 7]"
light violet,"[222, 183, 250]"
warm blue,"[85, 83, 207]"
electric pink,"[248, 7, 149]"
light urple,"[186, 106, 247]"
teal,"[6, 130, 131]"
midnight blue,"[9, 5, 52]"
bright red,"[253, 0, 14]"
dusty purple,"[139, 99, 136]"
green brown,"[78, 85, 12]"
orangey yellow,"[252, 183, 14]"
emerald,"[2, 164, 66]"
puce,"[168, 127, 84]"
nasty green,"[104, 185, 53]"
dark coral,"[197, 75, 87]"
green teal,"[21, 189, 123]"
sea green,"[70, 244, 180]"
deep brown,"[70, 6, 2]"
bubble gum pink,"[252, 110, 164]"
pale,"[254, 245, 210]"
lawn green,"[78, 160, 8]"
grapefruit,"[254, 95, 88]"
swamp,"[101, 129, 51]"
straw,"[253, 250, 123]"
seafoam blue,"[106, 206, 184]"
kiwi,"[152, 230, 70]"
light turquoise,"[138, 248, 206]"
washed out green,"[187, 250, 172]"
light bright green,"[88, 242, 89]"
cool grey,"[150, 167, 162]"
brown yellow,"[180, 149, 7]"
purply pink,"[241, 114, 229]"
greyish green,"[127, 167, 120]"
purple,"[124, 6, 133]"
